Juan,45,hoy,Chapin,Portero,Rojos Cremas,0,0,0,0,0,0,0,0
Danilo,31,1991/07/15,Brazil,Defender,Manchester City,806,0,0,1,0,0,1,0
Danny Drinkwater,32,1990/03/05,England,Midfielder,Chelsea,0,0,0,0,0,0,0,0
Danny Rose,32,1990/07/02,England,Defender,Tottenham Hotspur,1806,3,0,0,0,0,5,0
Danny Simpson,35,1987/01/04,England,Defender,Leicester City,291,0,0,0,0,0,0,0
Danny Ward,29,1993/06/22,Wales,Goalkeeper,Leicester City,0,0,0,0,0,0,0,0
Danny Ward,31,1990/12/09,England,Forward,Cardiff City,440,0,0,1,0,0,0,0
Danny Welbeck,31,1990/11/26,England,Forward,Arsenal,147,1,0,1,0,0,0,0
Daryl Janmaat,33,1989/07/22,Netherlands,Defender,Watford,1521,2,0,0,0,0,3,0
David Brooks,25,1997/07/08,England,Forward,AFC Bournemouth,2278,5,0,7,0,0,3,0
David Button,33,1989/02/27,England,Goalkeeper,Brighton & Hove Albion,360,0,0,0,0,0,0,0
David de Gea,31,1990/11/07,Spain,Goalkeeper,Manchester United,3420,0,0,0,0,0,1,0
David Junior Hoilett,32,1990/06/05,Canada,Forward,Cardiff City,2142,1,0,3,0,0,4,0
David Luiz,35,1987/04/22,Brazil,Defender,Chelsea,3239,2,0,3,0,0,3,0
David Silva,36,1986/01/08,Spain,Midfielder,Manchester City,2411,8,0,6,0,0,3,0
Davide Zappacosta,30,1992/06/11,Italy,Defender,Chelsea,125,0,0,0,0,0,0,0
Davinson Sánchez Mina,26,1996/06/12,Colombia,Defender,Tottenham Hotspur,1943,1,0,1,0,0,2,0
Davy Pröpper,31,1991/09/02,Netherlands,Midfielder,Brighton & Hove Albion,2551,1,0,1,0,0,2,0
DeAndre Yedlin,29,1993/07/09,USA,Defender,Newcastle United,2475,2,0,1,0,0,7,1
Declan Rice,23,1999/01/14,Republic of Ireland,Midfielder,West Ham United,3005,0,0,2,0,0,4,0
Dejan Lovren,33,1989/07/05,Croatia,Defender,Liverpool,985,0,0,1,0,0,1,0
Dele Alli,26,1996/04/11,England,Midfielder,Tottenham Hotspur,1827,3,0,5,0,0,4,0
Demarai Gray,26,1996/06/28,England,Midfielder,Leicester City,1992,1,0,4,0,0,2,0
Demeaco Duhaney,24,1998/10/13,England,Defender,Huddersfield Town,46,0,0,0,0,0,0,0
Denis Odoi,34,1988/05/27,Belgium,Defender,Fulham,2593,1,0,0,0,0,4,0
Denis Suárez,28,1994/01/06,Spain,Midfielder,Arsenal,67,0,0,0,0,0,0,0
Diego Rico,29,1993/02/23,Spain,Defender,AFC Bournemouth,607,0,0,0,0,0,1,0
Diogo José Teixeira da Silva,25,1996/12/04,Portugal,Midfielder,Wolverhampton Wanderers,2371,5,0,9,0,0,11,0
Divock Origi,27,1995/04/18,Belgium,Forward,Liverpool,366,1,0,3,0,0,0,0
Domingos Quina,22,1999/11/18,Portugal,Midfielder,Watford,335,0,0,1,0,0,0,0
Dominic Calvert Lewin,25,1997/03/16,England,Forward,Everton,1774,2,0,6,0,0,3,0
Dominic Solanke,25,1997/09/14,England,Forward,AFC Bournemouth,341,1,0,0,0,0,0,0
Dwight McNeil,22,1999/11/22,England,Forward,Burnley,1599,5,0,3,0,0,2,0
Eden Hazard,31,1991/01/07,Belgium,Midfielder,Chelsea,2926,15,0,16,4,0,2,0
Ederson,29,1993/08/17,Brazil,Goalkeeper,Manchester City,3420,1,0,0,0,0,2,0
Edward Nketiah,23,1999/05/30,England,Forward,Arsenal,62,0,0,1,0,0,0,0
Elias Kachunga,30,1992/04/22,Congo DR,Forward,Huddersfield Town,1181,0,0,0,0,0,2,0
Emerson Hyndman,26,1996/04/09,USA,Midfielder,AFC Bournemouth,37,0,0,0,0,0,0,0
Emerson Palmieri dos Santos,28,1994/08/03,Italy,Defender,Chelsea,660,0,0,0,0,0,0,0
Emile Smith Rowe,22,2000/07/28,England,Midfielder,Arsenal,0,0,0,0,0,0,0,0
Eric Bertrand Bailly,28,1994/04/12,Ivory Coast,Defender,Manchester United,637,0,0,0,0,0,1,1
Eric Dier,28,1994/01/15,England,Midfielder,Tottenham Hotspur,1510,0,0,3,0,0,4,0
Erik Durm,30,1992/05/12,Germany,Defender,Huddersfield Town,2052,1,0,0,0,0,0,0
Erik Lamela,30,1992/03/04,Argentina,Midfielder,Tottenham Hotspur,971,2,0,4,0,0,2,0
Ethan Ampadu,22,2000/09/14,Wales,Midfielder,Chelsea,0,0,0,0,0,0,0,0
Etienne Capoue,34,1988/07/11,France,Midfielder,Watford,2947,3,0,1,0,0,15,1
Fabián Cornelio Balbuena González,31,1991/08/23,Paraguay,Defender,West Ham United,2014,0,0,1,0,0,2,0
Fabian Delph,32,1989/11/21,England,Midfielder,Manchester City,725,1,0,0,0,0,2,1
Fabian Schär,30,1991/12/20,Switzerland,Defender,Newcastle United,2002,1,0,4,0,0,12,0
Fabinho,29,1993/10/23,Brazil,Midfielder,Liverpool,2013,2,0,1,0,0,6,0
Fabricio Martín Agosto Ramírez,34,1987/12/31,Spain,Goalkeeper,Fulham,180,0,0,0,0,0,0,0
Faustino Marcos Alberto Rojo,32,1990/03/20,Argentina,Defender,Manchester United,211,0,0,0,0,0,2,0
Federico Fernández,33,1989/02/21,Argentina,Defender,Newcastle United,1484,1,0,0,0,0,2,0
Felipe Anderson Pereira Gomes,29,1993/04/15,Brazil,Midfielder,West Ham United,3054,4,0,9,0,0,3,0
Fernando Llorente Torres,37,1985/02/26,Spain,Forward,Tottenham Hotspur,683,4,0,1,0,0,2,0
Fernando Luiz Rosa,37,1985/05/04,Brazil,Midfielder,Manchester City,2381,3,0,1,0,0,5,0
Florent Hadergjonaj,28,1994/07/31,Switzerland,Defender,Huddersfield Town,1840,0,0,0,0,0,1,0
Florian Lejeune,31,1991/05/20,France,Defender,Newcastle United,1055,0,0,0,0,0,0,0
Florin Andone,29,1993/04/11,Romania,Forward,Brighton & Hove Albion,874,0,0,3,0,0,5,0
Floyd Ayité,33,1988/12/15,Togo,Midfielder,Fulham,465,0,0,1,0,0,0,0
Fousseni Diabaté,27,1995/10/18,Mali,Midfielder,Leicester City,55,0,0,0,0,0,0,0
Francisco Femenía Far,31,1991/02/02,Spain,Midfielder,Watford,2045,1,0,1,0,0,1,0
Fraser Forster,34,1988/03/17,England,Goalkeeper,Southampton,90,0,0,0,0,0,0,0
Freddie Woodman,25,1997/03/04,England,Goalkeeper,Newcastle United,0,0,0,0,0,0,0,0
Frederico Rodrigues Santos,29,1993/03/05,Brazil,Midfielder,Manchester United,1045,1,0,1,0,0,2,0
Gabriel Jesus,25,1997/04/03,Brazil,Forward,Manchester City,1019,3,0,7,1,0,1,0
Gaëtan Bong Songo,34,1988/04/25,Cameroon,Defender,Brighton & Hove Albion,1805,0,0,0,0,0,0,0
Gary Cahill,36,1985/12/19,England,Defender,Chelsea,22,0,0,0,0,0,0,0
Gary Madine,32,1990/08/24,England,Forward,Cardiff City,32,0,0,0,0,0,0,0
George Marsh,23,1998/11/05,England,Midfielder,Tottenham Hotspur,0,0,0,0,0,0,0,0
Georges Kevin N'Koudou Mbida,27,1995/02/13,France,Forward,Tottenham Hotspur,4,1,0,0,0,0,0,0
Georginio Wijnaldum,31,1990/11/11,Netherlands,Midfielder,Liverpool,2735,0,0,3,0,0,3,0
Gerard Deulofeu,28,1994/03/13,Spain,Forward,Watford,2082,5,0,10,0,0,3,0
Glenn Murray,39,1983/09/25,England,Forward,Brighton & Hove Albion,2513,1,0,13,4,0,5,0
Gonzalo Higuain,34,1987/12/10,Argentina,Forward,Chelsea,1092,0,0,5,0,0,0,0
Grady Diangana,24,1998/04/19,England,Midfielder,West Ham United,604,1,0,0,0,0,0,0
Granit Xhaka,30,1992/09/27,Switzerland,Midfielder,Arsenal,2502,2,0,4,0,0,10,0
Greg Cunningham,31,1991/01/31,Republic of Ireland,Defender,Cardiff City,630,0,0,0,0,0,3,0
Gylfi Sigurdsson,33,1989/09/08,Iceland,Midfielder,Everton,3134,6,0,13,2,3,3,0
Hamza Choudhury,25,1997/10/01,England,Midfielder,Leicester City,596,0,0,0,0,0,0,0
Harry Arter,32,1989/12/28,Republic of Ireland,Midfielder,Cardiff City,2008,1,0,0,0,0,10,0
Harry Kane,29,1993/07/28,England,Forward,Tottenham Hotspur,2427,4,0,17,4,0,5,0
Harry Maguire,29,1993/03/05,England,Defender,Leicester City,2599,0,0,3,0,0,7,1
Harry Winks,26,1996/02/02,England,Midfielder,Tottenham Hotspur,1591,0,0,1,0,0,4,0
Harvey Lewis Barnes,24,1997/12/09,England,Midfielder,Leicester City,1007,2,0,1,0,0,0,0
Håvard Nordtveit,32,1990/06/21,Norway,Midfielder,Fulham,361,1,0,0,0,0,0,0
Hector Bellerin,27,1995/03/19,Spain,Defender,Arsenal,1535,5,0,0,0,0,3,0
Hélder Wander Sousa Azevedo Costa,28,1994/01/12,Portugal,Midfielder,Wolverhampton Wanderers,1345,2,0,1,0,0,3,0
Henrikh Mkhitaryan,33,1989/01/21,Armenia,Midfielder,Arsenal,1643,4,0,6,0,0,1,0
Heung Min Son,30,1992/07/08,South Korea,Forward,Tottenham Hotspur,2048,6,0,12,0,0,3,1
Heurelho da Silva Gomes,41,1981/02/15,Brazil,Goalkeeper,Watford,0,0,0,0,0,0,0,0
Hugo Lloris,35,1986/12/26,France,Goalkeeper,Tottenham Hotspur,2970,0,0,0,0,0,0,0
Ibrahima Cissé,28,1994/02/28,Belgium,Midfielder,Fulham,87,0,0,0,0,0,0,0
Idrissa Gana Gueye,33,1989/09/26,Senegal,Midfielder,Everton,2825,2,0,0,0,0,6,0
İlkay Gündoğan,32,1990/10/24,Germany,Midfielder,Manchester City,2135,3,0,6,0,0,3,0
Isaac Ajayi Success,26,1996/01/07,Nigeria,Forward,Watford,1037,1,0,1,0,0,4,0
Isaac Hayden,27,1995/03/22,England,Midfielder,Newcastle United,1886,4,0,1,0,0,4,1
Isaac Mbenza,26,1996/03/08,Belgium,Forward,Huddersfield Town,981,1,0,1,0,0,1,0
Issa Diop,25,1997/01/09,France,Defender,West Ham United,2970,0,0,1,0,0,4,0
Ivan Ricardo Neves Abreu Cavaleiro,29,1993/10/18,Portugal,Forward,Wolverhampton Wanderers,683,1,0,3,0,0,1,0
Jack Cork,33,1989/06/25,England,Midfielder,Burnley,3313,2,0,1,0,0,6,0
Jack Simpson,25,1996/12/18,England,Defender,AFC Bournemouth,403,0,0,0,0,0,0,0
Jack Stephens,28,1994/01/27,England,Defender,Southampton,1697,0,0,1,0,0,4,0
Jack Wilshere,30,1992/01/01,England,Midfielder,West Ham United,389,1,0,0,0,0,2,0
Jacob Murphy,27,1995/02/24,England,Midfielder,Newcastle United,300,1,0,0,0,0,0,0
Jaïro Riedewald,26,1996/09/09,Netherlands,Defender,Crystal Palace,0,0,0,0,0,0,0,0
Jamal Lascelles,28,1993/11/11,England,Defender,Newcastle United,2748,1,0,0,0,0,4,0
James Garner,21,2001/03/13,England,Defender,Manchester United,0,0,0,0,0,0,0,0
James Maddison,25,1996/11/23,England,Midfielder,Leicester City,2850,7,0,7,1,1,5,1
James McArthur,35,1987/10/07,Scotland,Midfielder,Crystal Palace,3071,6,0,3,0,0,7,0
James McCarthy,31,1990/11/12,Republic of Ireland,Midfielder,Everton,14,0,0,0,0,0,0,0
James Milner,36,1986/01/04,England,Midfielder,Liverpool,1785,4,0,5,3,0,7,1
James Tarkowski,29,1992/11/19,England,Defender,Burnley,3087,1,0,3,0,0,8,0
James Tomkins,33,1989/03/29,England,Defender,Crystal Palace,2563,1,0,1,0,0,6,0
James Ward Prowse,27,1994/11/01,England,Midfielder,Southampton,1942,0,0,7,1,0,4,0
Jamie Sterry,26,1995/11/21,England,Defender,Newcastle United,0,0,0,0,0,0,0,0
Jamie Vardy,35,1987/01/11,England,Forward,Leicester City,2735,4,0,18,4,1,4,1
Jan Bednarek,26,1996/04/12,Poland,Defender,Southampton,2151,1,0,0,0,0,7,0
Jan Vertonghen,35,1987/04/24,Belgium,Defender,Tottenham Hotspur,1915,0,0,1,0,0,5,1
Jannik Vestergaard,30,1992/08/03,Denmark,Defender,Southampton,2030,0,0,0,0,0,2,0
Jason Puncheon,36,1986/06/26,England,Midfielder,Huddersfield Town,391,0,0,0,0,0,1,0
Jason Steele,32,1990/08/18,England,Goalkeeper,Brighton & Hove Albion,0,0,0,0,0,0,0,0
Javier Hernandez,34,1988/06/01,Mexico,Forward,West Ham United,1335,1,0,7,0,0,2,0
Javier Manquillo Gaitán,28,1994/05/05,Spain,Defender,Newcastle United,1097,3,0,0,0,0,2,0
Jayson Molumby,23,1999/08/06,Republic of Ireland,Midfielder,Brighton & Hove Albion,0,0,0,0,0,0,0,0
Jazz Richards,31,1991/04/12,Wales,Defender,Cardiff City,128,0,0,0,0,0,0,0
Jean Michau00ebl Seri,31,1991/07/19,Ivory Coast,Midfielder,Fulham,2252,2,0,1,0,0,6,0
Jeff Hendrick,30,1992/01/31,Republic of Ireland,Midfielder,Burnley,2069,0,0,3,0,0,4,0
Jefferson Lerma,28,1994/10/25,Colombia,Midfielder,AFC Bournemouth,2511,0,0,2,0,0,12,0
Jeffrey Schlupp,29,1992/12/23,Ghana,Defender,Crystal Palace,1665,1,0,4,0,0,1,0
Jermain Defoe,40,1982/10/07,England,Forward,AFC Bournemouth,21,0,0,0,0,0,0,0
Jesse Lingard,29,1992/12/15,England,Midfielder,Manchester United,1668,2,0,4,1,0,3,0
João Moutinho,36,1986/09/08,Portugal,Midfielder,Wolverhampton Wanderers,3040,8,0,1,0,0,4,0
Joe Bennett,32,1990/03/28,England,Defender,Cardiff City,2641,1,0,0,0,0,5,0
Joe Bryan,29,1993/09/17,England,Defender,Fulham,2350,1,0,0,0,0,5,0
Joe Daniel Tupper,24,1997/11/15,England,Goalkeeper,Crystal Palace,0,0,0,0,0,0,0,0
Joe Gomez,25,1997/05/23,England,Defender,Liverpool,1060,0,0,0,0,0,2,0
Joe Hart,35,1987/04/19,England,Goalkeeper,Burnley,1710,0,0,0,0,0,0,0
Joe Powell,24,1998/10/30,England,Forward,West Ham United,0,0,0,0,0,0,0,0
